lat,lon,genus,species,dbh,year_min,year_max,crown,height,common,location,ref,maintenance,maturity,planted,updated,health,structure,description,family,address,significance,age
-37.79176467,144.9943976,Ulmus,U. minor 'Atinia',154,,,,28,English Elm,park,1,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Outstanding Example of the Species, Outstanding Size, Particularly Old",100+ years
-37.79180146,144.9916476,Quercus,Q. ilex,84,,,,16,Holm Oak,park,2,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Particularly Old, Rare or Localised, Horticultural Value",100+ years
-37.79089667,144.9927607,Ulmus,U. minor 'Atinia',120,,,,23,English Elm,park,3,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Historic Value, Outstanding Size, Particularly Old",100+ years
-37.79135235,144.993866,Ulmus,U. minor 'Atinia',139,,,,26,English Elm,park,4,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Outstanding Size, Aesthetic Value, Particularly Old",100+ years
-37.79170848,144.9942299,Ulmus,U. minor 'Atinia',76,,,,16,English Elm,street,5,,Mature,,16/08/2012,,,,,"0 HODDLE STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context, Environmental Value",61-80 years
-37.79170848,144.9942299,Ulmus,U. minor 'Atinia',64,,,,10,English Elm,street,6,,Mature,,16/08/2012,,,,,"0 HODDLE STREET, CLIFTON HILL, 3068","Location of Landscape Context, Environmental Value, Aesthetic Value",41-60 years
-37.79089667,144.9927607,Ulmus,U. x hollandica,82,,,,19,Dutch Elm,park,7,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context, Environmental Value, Particularly Old",100+ years
-37.79089667,144.9927607,Ulmus,U. x hollandica,92,,,,19,Dutch Elm,park,8,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context, Environmental Value, Particularly Old",100+ years
-37.79091882,144.9928532,Butia,B. capitata,50,,,,9,Blue Palm,park,9,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Particularly Old, Outstanding Size, Rare or Localised",81-100 years
-37.79051985,144.9909781,Ulmus,U. x hollandica,103,,,,21,Dutch Elm,park,10,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Significant Habitat Value, Environmental Value, Aesthetic Value, Outstanding Size, Particularly Old",100+ years
-37.79000793,144.9909557,Phoenix,P. canariensis,78,,,,16,Canary Island Date Palm,park,11,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Outstanding Size, Location of Landscape Context",61-80 years
-37.79007566,144.9910337,Washingtonia,W. filifera,80,,,,13,Desert Fan Palm,park,12,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068",Location of Landscape Context,41-60 years
-37.79007566,144.9910337,Phoenix,P. canariensis,82,,,,12,Canary Island Date Palm,park,13,,Mature,,16/08/2012,,,,,"2 TURNBULL STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context",61-80 years
-37.78829371,144.9932477,Phoenix,P. canariensis,74,,,,12,Canary Island Date Palm,park,14,,Mature,,16/08/2012,,,,,"2 TURNBULL STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context",61-80 years
-37.81646781,144.9997959,Phoenix,P. canariensis,72,,,,13,Canary Island Date Palm,park,15,,Mature,,16/08/2012,,,,,"2 TURNBULL STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context",61-80 years
-37.78982493,144.9945807,Ulmus,U. minor 'Atinia',108,,,,18,English Elm,street,16,,Mature,,16/08/2012,,,,,"2 TURNBULL STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context, Particularly Old",81-100 years
-37.78762619,144.9929562,Quercus,Q. ilex,80,,,,14,Holm Oak,park,17,,Mature,,16/08/2012,,,,,"402 QUEENS PARADE, FITZROY NORTH, 3068","Rare or Localised, Aesthetic Value, Particularly Old, Outstanding Size, Location of Landscape Context",81-100 years
-37.78761142,144.9930668,Arbutus,A. unedo,63,,,,6,Irish Strawberry Tree,park,18,,Mature,,16/08/2012,,,,,"416 QUEENS PARADE, FITZROY NORTH, 3068","Particularly Old, Rare or Localised",61-80 years
-37.81967819,144.9934729,Pyrus,P. communis,51,,,,11,Common Pear,residential,19,,Mature,,27/08/2012,,,,,"21 HULL STREET, RICHMOND, 3121","Particularly Old, Outstanding Size, Location of Landscape Context, Environmental Value",81-100 years
-37.80528839,144.9857228,Platanus,P. x acerifolia,65,,,,16,London Plane,street,20,,Mature,,27/08/2012,,,,,"41 PEEL STREET, COLLINGWOOD, 3066","Aesthetic Value, Location of Landscape Context, Environmental Value",61-80 years
-37.80528839,144.9857228,Platanus,P. x acerifolia,73,,,,17,London Plane,residential,21,,Mature,,27/08/2012,,,,,"106 CAMBRIDGE STREET, COLLINGWOOD, 3066","Aesthetic Value, Location of Landscape Context, Environmental Value",61-80 years
-37.80518579,144.9856067,Pyrus,P. communis,52,,,,5,Common Pear,residential,22,,Mature,,27/08/2012,,,,,"125 EASEY STREET, COLLINGWOOD, 3066","Curious Growth Form, Particularly Old",100+ years
-37.81967819,144.9934729,Corymbia,C. citriodora,47,,,,14,Lemon-scented Gum,other,24,,Mature,,27/08/2012,,,,,"18 GOODWOOD STREET, RICHMOND, 3121","Location of Landscape Context, Environmental Value",21-40 years
-37.81967819,144.9934729,Corymbia,C. citriodora,49,,,,18,Lemon-scented Gum,residential,25,,Mature,,27/08/2012,,,,,"0 GOODWOOD STREET, RICHMOND, 3121","Location of Landscape Context, Environmental Value",41-60 years
-37.81963711,144.9930989,Ulmus,U. x hollandica,92,,,,19,Dutch Elm,park,26,,Mature,,27/08/2012,,,,,"213 CHURCH STREET, RICHMOND, 3121","Aesthetic Value, Particularly Old, Outstanding Size, Location of Landscape Context, Environmental Value",100+ years
-37.78796345,144.9935562,Schinus,S. molle,113,,,,16,Peppercorn Tree,park,27,,Mature,,27/08/2012,,,,,"0 MADDEN GROVE, RICHMOND, 3121","Particularly Old, Aesthetic Value, Outstanding Size, Location of Landscape Context",100+ years
-37.82729311,145.0010176,Schinus,S. molle,114,,,,16,Peppercorn Tree,park,28,,Mature,,27/08/2012,,,,,"0 MADDEN GROVE, RICHMOND, 3121","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.82729311,145.0010176,Quercus,Q. robur,75,,,,13,English Oak,park,29,,Mature,,27/08/2012,,,,,"0 MADDEN GROVE, RICHMOND, 3121","Aesthetic Value, Location of Landscape Context",61-80 years
-37.82741384,144.9943802,Quercus,Q. robur,77,,,,15,English Oak,park,30,,Mature,,27/08/2012,,,,,"0 MADDEN GROVE, RICHMOND, 3121","Aesthetic Value, Location of Landscape Context",61-80 years
-37.82773644,145.0010462,Corymbia,C. citriodora,103,,,,21,Lemon-scented Gum,park,31,,Mature,,27/08/2012,,,,,"0 MADDEN GROVE, RICHMOND, 3121","Outstanding Size, Particularly Old",81-100 years
-37.82922008,145.0152313,Eucalyptus,E. cladocalyx,141,,,,32,Sugar Gum,other,32,,Mature,,29/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Outstanding Size, Particularly Old",100+ years
-37.82910282,145.017534,Eucalyptus,E. cladocalyx,153,,,,27,Sugar Gum,other,33,,Mature,,27/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Outstanding Size, Particularly Old",100+ years
-37.82972524,145.0196211,Eucalyptus,E. cladocalyx,160,,,,27,Sugar Gum,other,34,,Mature,,27/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Outstanding Size, Particularly Old",100+ years
-37.829301,145.0192061,Eucalyptus,E. camaldulensis,108,,,,19,River Red Gum,other,35,,Mature,,27/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Remnant, Outstanding Size, Particularly Old",100+ years
-37.78924654,144.9833179,Ulmus,U. parvifolia,62,,,,15,Chinese Elm,residential,36,,Mature,,29/08/2012,,,,,"300 MARY STREET, RICHMOND, 3121","Aesthetic Value, Location of Landscape Context",41-60 years
-37.78607909,144.9847341,Eucalyptus,E. camaldulensis,96,,,,16,River Red Gum,other,37,,Mature,,29/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Location of Landscape Context, Significant Habitat Value, Aesthetic Value",81-100 years
-37.82826817,145.0132414,Eucalyptus,E. camaldulensis,104,,,,20,River Red Gum,residential,38,,Mature,,29/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Particularly Old, Outstanding Size, Significant Habitat Value",100+ years
-37.78702186,144.9826394,Eucalyptus,E. camaldulensis,92,,,,17,River Red Gum,other,39,,Mature,,29/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Significant Habitat Value, Outstanding Size, Particularly Old",100+ years
-37.82922008,145.0152313,Eucalyptus,E. camaldulensis,121,,,,19,River Red Gum,other,40,,Mature,,29/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Remnant, Outstanding Size, Particularly Old, Location of Landscape Context, Significant Habitat Value",100+ years
-37.78702186,144.9826394,Eucalyptus,E. camaldulensis,92,,,,17,River Red Gum,other,41,,Mature,,29/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Remnant, Outstanding Size, Particularly Old, Significant Habitat Value",100+ years
-37.8303933,145.0184382,Eucalyptus,E. camaldulensis,132,,,,22,River Red Gum,other,42,,Mature,,29/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Remnant, Outstanding Size, Particularly Old, Significant Habitat Value",100+ years
-37.83048217,145.0189306,Eucalyptus,E. camaldulensis,97,,,,20,River Red Gum,other,43,,Mature,,29/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Remnant, Outstanding Size, Particularly Old, Significant Habitat Value",100+ years
-37.8304988,145.0186695,Eucalyptus,E. camaldulensis,94,,,,22,River Red Gum,other,44,,Mature,,29/08/2012,,,,,"102 MADDEN GROVE, BURNLEY, 3121","Remnant, Outstanding Size, Particularly Old, Significant Habitat Value",100+ years
-37.78936594,144.9839806,Ulmus,U. minor 'Atinia',91,,,,16,English Elm,street,47,,Mature,,29/08/2012,,,,,"0 THE ESPLANADE  , CLIFTON HILL, 3068","Outstanding Size, Aesthetic Value, Location of Landscape Context",81-100 years
-37.79276367,144.9890924,Schinus,S. molle,123,,,,9,Peppercorn Tree,other,49,,Mature,,29/08/2012,,,,,"1 HEIDELBERG ROAD, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context",81-100 years
-37.78843472,144.9952881,Phoenix,P. canariensis,86,,,,13,Canary Island Date Palm,other,50,,Mature,,29/08/2012,,,,,"0 HEIDELBERG ROAD, CLIFTON HILL, 3068",Location of Landscape Context,61-80 years
-37.78843472,144.9952881,Schinus,S. molle,134,,,,13,Peppercorn Tree,other,51,,Mature,,29/08/2012,,,,,"185 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Outstanding Size, Particularly Old",100+ years
-37.79198877,144.9929345,Schinus,S. molle,92,,,,10,Peppercorn Tree,other,52,,Mature,,29/08/2012,,,,,"185 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Outstanding Size, Location of Landscape Context",81-100 years
-37.79284595,144.9900028,Platanus,P. x acerifolia,72,,,,18,London Plane,other,53,,Mature,,29/08/2012,,,,,"185 GOLD STREET, CLIFTON HILL, 3068",Location of Landscape Context,61-80 years
-37.79149249,144.9845652,Eucalyptus,E. globulus,107,,,,18,Blue Gum,park,55,,Mature,,29/08/2012,,,,,"0 GEORGE STREET, FITZROY, 3065","Outstanding Size, Location of Landscape Context",81-100 years
-37.78736571,145.0108496,Eucalyptus,E. cladocalyx,133,,,,27,Sugar Gum,other,56,,Mature,,12/09/2012,,,,,"101 YARRA BEND ROAD, FAIRFIELD, 3078","Outstanding Size, Location of Landscape Context, Significant Habitat Value",61-80 years
-37.78736571,145.0108496,Cedrus,C. deodara,122,,,,21,Deodar Cedar,other,57,,Mature,,12/09/2012,,,,,"101 YARRA BEND ROAD, FAIRFIELD, 3078","Aesthetic Value, Outstanding Size, Location of Landscape Context",81-100 years
-37.78738177,145.0106354,Cedrus,C. deodara,111,,,,17,Deodar Cedar,other,58,,Mature,,12/09/2012,,,,,"101 YARRA BEND ROAD, FAIRFIELD, 3078","Aesthetic Value, Outstanding Size, Location of Landscape Context",81-100 years
-37.78738177,145.0106354,Ficus,F. palmata,93,,,,13,Punjab Fig,other,59,,Mature,,12/09/2012,,,,,"101 YARRA BEND ROAD, FAIRFIELD, 3078",Rare or Localised,81-100 years
-37.78461328,145.0122712,Araucaria,A. bidwillii,76,,,,21,Bunya Pine,park,60,,Mature,,12/09/2012,,,,,"280 HEIDELBERG ROAD, FAIRFIELD, 3078","Aesthetic Value, Location of Landscape Context",61-80 years
-37.78463488,145.0121364,Araucaria,A. bidwillii,72,,,,22,Bunya Pine,park,61,,Mature,,12/09/2012,,,,,"280 HEIDELBERG ROAD, FAIRFIELD, 3078","Aesthetic Value, Location of Landscape Context",61-80 years
-37.78461002,145.0137348,Eucalyptus,E. camaldulensis,126,,,,20,River Red Gum,park,63,,Mature,,12/09/2012,,,,,"0 PARKVIEW ROAD, ALPHINGTON, 3078","Particularly Old, Significant Habitat Value, Remnant, Outstanding Size, Location of Landscape Context",100+ years
-37.78914217,145.0399294,Quercus,Q. robur,182,,,,20,English Oak,other,64,,Mature,,12/09/2012,,,,,"0 FARM ROAD, ALPHINGTON, 3078","Outstanding Example of the Species, Outstanding Size, Particularly Old, Historic Value",100+ years
-37.7870249,145.0333297,Eucalyptus,E. camaldulensis,174,,,,30,River Red Gum,other,65,,Mature,,12/09/2012,,,,,"0 FARM ROAD, ALPHINGTON, 3078","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old",100+ years
-37.80721619,144.9810931,Eucalyptus,E. nicholii,74,,,,19,Narrow-leaved Black Peppermint,residential,66,,Mature,,12/09/2012,,,,,"43 GORE STREET, FITZROY, 3065","Location of Landscape Context, Environmental Value",41-60 years
-37.7906903,144.9725496,Corymbia,C. citriodora,59,,,,16,Lemon-scented Gum,residential,67,,Mature,,12/09/2012,,,,,"96 CHARLES STREET, FITZROY, 3065",Location of Landscape Context,41-60 years
-37.80372523,144.9940996,Platanus,P. x acerifolia,69,,,,18,London Plane,park,68,,Mature,,17/09/2012,,,,,"0 VERE STREET, ABBOTSFORD, 3067","Aesthetic Value, Location of Landscape Context, Environmental Value",61-80 years
-37.80422768,144.9946675,Phoenix,P. canariensis,80,,,,17,Canary Island Date Palm,park,69,,Mature,,17/09/2012,,,,,"0 VERE STREET, ABBOTSFORD, 3067","Particularly Old, Outstanding Size, Aesthetic Value, Location of Landscape Context",81-100 years
-37.80278246,144.9944067,Platanus,P. x acerifolia,84,,,,22,London Plane,park,70,,Mature,,17/09/2012,,,,,"0 VERE STREET, ABBOTSFORD, 3067","Aesthetic Value, Location of Landscape Context, Environmental Value",61-80 years
-37.80278246,144.9944067,Platanus,P. x acerifolia,83,,,,17,London Plane,park,71,,Mature,,17/09/2012,,,,,"0 VERE STREET, ABBOTSFORD, 3067","Aesthetic Value, Location of Landscape Context",61-80 years
-37.80219843,145.003725,Quercus,Q. robur,143,,,,16,English Oak,other,72,,Mature,,17/09/2012,,,,,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Outstanding Example of the Species, Outstanding Size, Particularly Old",100+ years
-37.80364478,145.0029959,Quercus,Q. suber,102,,,,14,Cork Oak,other,73,,Mature,,17/09/2012,,,,,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Outstanding Size, Rare or Localised",61-80 years
-37.80360255,145.0029252,Quercus,Q. suber,74,,,,6,Cork Oak,other,74,,Mature,,17/09/2012,,,,,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Rare or Localised, Outstanding Size, Curious Growth Form",61-80 years
-37.80360255,145.0029252,Ulmus,U. minor 'Atinia',125,,,,27,English Elm,other,75,,Mature,,17/09/2012,,,,,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Outstanding Size, Particularly Old",100+ years
-37.78563465,144.9685742,Quercus,Q. robur,174,,,,16,English Oak,other,76,,Mature,,17/09/2012,,,,,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Historic Value, Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.80264189,145.0023797,Quercus,Q. ilex,121,,,,20,Holm Oak,other,77,,Mature,,17/09/2012,,,,,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Location of Landscape Context, Particularly Old, Outstanding Size, Rare or Localised",100+ years
-37.80219843,145.003725,Eucalyptus,E. camaldulensis,122,,,,22,River Red Gum,other,78,,Mature,,17/09/2012,,,,,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Location of Landscape Context, Outstanding Size, Remnant, Particularly Old",100+ years
-37.80175514,145.0049313,Quercus,Q. robur,140,,,,22,English Oak,park,79,,Mature,,17/09/2012,,,,,"18 ST HELIERS STREET, ABBOTSFORD, 3067","Outstanding Example of the Species, Outstanding Size, Particularly Old, Aesthetic Value",100+ years
-37.79198877,144.9929345,Grevillea,G. robusta,80,,,,20,Silky Oak,residential,81,,Mature,,17/09/2012,,,,,"227 MOOR STREET, FITZROY, 3065",Location of Landscape Context,61-80 years
-37.8020604,144.9832521,Cupressus,C. macrocarpa,96,,,,20,Monterey Cypress,residential,82,,Mature,,17/09/2012,,,,,"227 MOOR STREET, FITZROY, 3065","Outstanding Size, Location of Landscape Context",61-80 years
-37.8020604,144.9832521,Corymbia,C. citriodora,78,,,,22,Lemon-scented Gum,residential,83,,Mature,,17/09/2012,,,,,"133 MOOR STREET, FITZROY, 3065",Location of Landscape Context,61-80 years
-37.82049277,144.9920107,Corymbia,C. maculata,54,,,,21,Spotted Gum,residential,85,,Mature,,19/09/2012,,,,,"43 ROWENA PARADE, RICHMOND, 3121",Location of Landscape Context,41-60 years
-37.80907791,144.9848608,Schinus,S. molle,85,,,,17,Peppercorn Tree,other,86,,Mature,,19/09/2012,,,,,"0 BYRON STREET, CREMORNE, 3121","Particularly Old, Location of Landscape Context, Outstanding Size",100+ years
