lat,lon,genus,species,dbh,year_min,year_max,crown,height,common,location,ref,maintenance,maturity,planted,updated,health,structure,description,family,address,significance,age
-37.78050781,144.9732217,Corymbia,C. citriodora,58,,,,16,Lemon-scented Gum,street,182,,Mature,,3/10/2012,,,,,"995 RATHDOWNE STREET, CARLTON NORTH, 3054","Aesthetic Value, Location of Landscape Context, Environmental Value",61-80 years
-37.78050781,144.9732217,Lophostemon,L. confertus,39,,,,14,Queensland Brush Box,street,183,,Mature,,3/10/2012,,,,,"716 RATHDOWNE STREET, CARLTON NORTH, 3054","Aesthetic Value, Location of Landscape Context, Environmental Value",21-40 years
-37.78171338,144.9733288,Lophostemon,L. confertus,67,,,,18,Queensland Brush Box,street,184,,Mature,,3/10/2012,,,,,"656 RATHDOWNE STREET, CARLTON NORTH, 3054","Aesthetic Value, Location of Landscape Context, Environmental Value",61-80 years
-37.78881126,144.974423,Corymbia,C. maculata,90,,,,15,Spotted Gum,street,185,,Mature,,3/10/2012,,,,,"333 CANNING STREET, CARLTON NORTH, 3054","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context",81-100 years
-37.78555653,144.968794,Lophostemon,L. confertus,54,,,,10,Queensland Brush Box,street,186,,Mature,,3/10/2012,,,,,"212 MACPHERSON STREET, PRINCES HILL, 3054",Location of Landscape Context,41-60 years
-37.78563465,144.9685742,Lophostemon,L. confertus,69,,,,11,Queensland Brush Box,park,187,,Mature,,3/10/2012,,,,,"214 MACPHERSON STREET, PRINCES HILL, 3054","Aesthetic Value, Location of Landscape Context",81-100 years
-37.8028701,145.0023448,Phoenix,P. canariensis,107,,,,22,Canary Island Date Palm,park,188,,Mature,,3/10/2012,,,,,"218 MACPHERSON STREET, PRINCES HILL, 3054","Significant Habitat Value, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.78973855,144.97336,Washingtonia,W. robusta,149,,,,24,Mexican Fan Palm,park,189,,Mature,,1/10/2012,,,,,"0 CURTAIN STREET, CARLTON NORTH, 3054","Outstanding Size, Particularly Old",100+ years
-37.78944098,144.9736007,Platanus,P. x acerifolia,170,,,,24,London Plane,park,190,,Mature,,1/10/2012,,,,,"0 CURTAIN STREET, CARLTON NORTH, 3054","Aesthetic Value, Outstanding Size, Location of Landscape Context",81-100 years
-37.78910345,144.9734876,Quercus,Q. palustris,154,,,,24,Pin Oak,park,191,,Mature,,1/10/2012,,,,,"0 CURTAIN STREET, CARLTON NORTH, 3054","Outstanding Size, Particularly Old",100+ years
-37.7906903,144.9725496,Platanus,P. x acerifolia,52,,,,17,London Plane,other,192,,Mature,,1/10/2012,,,,,"307 CANNING STREET, CARLTON NORTH, 3054",Location of Landscape Context,41-60 years
-37.80343627,144.9827073,Phoenix,P. canariensis,59,,,,11,Canary Island Date Palm,street,193,,Mature,,1/10/2012,,,,,"0 PIGDON STREET, PRINCES HILL, 3054",Location of Landscape Context,61-80 years
-37.78024186,144.9671166,Ulmus,U. minor 'Atinia',72,,,,14,English Elm,residential,194,,Mature,,1/10/2012,,,,,"162 ARNOLD STREET, PRINCES HILL, 3054",Location of Landscape Context,61-80 years
-37.7808278,144.9680801,Phoenix,P. canariensis,70,,,,24,Canary Island Date Palm,other,195,,Mature,,1/10/2012,,,,,"0 PIGDON STREET, PRINCES HILL, 3054","Outstanding Example of the Species, Outstanding Size",61-80 years
-37.78020955,144.9686766,Ulmus,U. minor 'Atinia',78,,,,13,English Elm,street,196,,Mature,,1/10/2012,,,,,"0 PIGDON STREET, PRINCES HILL, 3054",Location of Landscape Context,61-80 years
-37.78481494,144.9665255,Cupressus,C. sempervirens,53,,,,10,Italian Cypress,street,198,,Mature,,1/10/2012,,,,,"11 WILSON STREET, PRINCES HILL, 3054",Location of Landscape Context,21-40 years
-37.79266019,144.9755555,Washingtonia,W. filifera,87,,,,16,Desert Fan Palm,park,199,,Mature,,1/10/2012,,,,,"20 PRINCES STREET, CARLTON NORTH, 3054","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.78566314,144.9903007,Washingtonia,W. filifera,80,,,,18,Desert Fan Palm,residential,200,,Mature,,3/10/2012,,,,,"78 ROWE STREET, FITZROY NORTH, 3068","Particularly Old, Outstanding Size, Location of Landscape Context",100+ years
-37.78948286,144.9865661,Eucalyptus,E. camaldulensis,80,,,,16,River Red Gum,residential,201,,Mature,,3/10/2012,,,,,"106 MCKEAN STREET, FITZROY NORTH, 3068",Location of Landscape Context,81-100 years
-37.776544,144.9857863,Platanus,P. x acerifolia,60,,,,14,London Plane,residential,202,,Mature,,3/10/2012,,,,,"149 MILLER STREET, FITZROY NORTH, 3068",Location of Landscape Context,41-60 years
-37.776544,144.9857863,Brachychiton,B. acerifolius,70,,,,22,Flame Tree,residential,203,,Mature,,3/10/2012,,,,,"23 YARRALEA STREET, ALPHINGTON, 3078","Location of Landscape Context, Outstanding Size",61-80 years
-37.7936258,144.9936935,Ulmus,U. minor 'Atinia',87,,,,19,English Elm,street,204,,Mature,,3/10/2012,,,,,"481 HODDLE STREET, CLIFTON HILL, 3068","Outstanding Size, Environmental Value",81-100 years
-37.7936258,144.9936935,Quercus,Q. suber,60,,,,13,Cork Oak,residential,205,,Mature,,3/10/2012,,,,,"109 RAMSDEN STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context",61-80 years
-37.82953553,145.0248215,Araucaria,A. cunninghamii,110,,,,22,Hoop Pine,street,206,,Mature,,4/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Particularly Old, Outstanding Size, Location of Landscape Context",100+ years
-37.82953553,145.0248215,Ulmus,U. minor 'Atinia',110,,,,11,English Elm,other,207,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Rare or Localised, Outstanding Size, Particularly Old",100+ years
-37.82868754,145.0217323,Ulmus,U. minor 'Variegata',86,,,,25,Variegated Elm,other,208,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Aesthetic Value, Location of Landscape Context, Outstanding Size, Particularly Old",100+ years
-37.82833745,145.0215132,Pinus,P. canariensis,121,,,,20,Canary Island Pine,other,209,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Particularly Old, Outstanding Size, Location of Landscape Context",100+ years
-37.82862413,145.0215801,Cupressus,C. sempervirens,92,,,,24,Italian Cypress,other,210,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Horticultural Value, Rare or Localised, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.82881562,145.0219099,Ficus,F. macrophylla,124,,,,27,Moreton Bay Fig,other,211,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Location of Landscape Context, Outstanding Size, Particularly Old",100+ years
-37.82901227,145.0226625,Araucaria,A. bidwillii,69,,,,21,Bunya Pine,other,212,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Particularly Old, Outstanding Size, Location of Landscape Context",100+ years
-37.82880211,145.0225361,Agathis,A. robusta,230,,,,21,Kauri Pine,other,213,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Curious Growth Form, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.82880211,145.0225361,Butia,B. capitata,95,,,,26,Blue Palm,other,214,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.82902194,145.0232938,Quercus,Q. robur,175,,,,24,English Oak,other,215,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Outstanding Example of the Species, Outstanding Size, Particularly Old, Rare or Localised, Horticultural Value",100+ years
-37.82990402,145.0224329,Acacia,A. maidenii,39,,,,8,Maiden's Wattle,other,216,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Rare or Localised, Outstanding Size, Aesthetic Value, Location of Landscape Context",81-100 years
-37.82921337,145.0220524,Agathis,A. robusta,146,,,,20,Kauri Pine,other,217,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.82936412,145.022423,Erythrina,E. caffra,80,,,,18,Coast Coral,other,218,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Particularly Old, Outstanding Size, Location of Landscape Context",100+ years
-37.8292406,145.0230918,Sequoia,S. sempervirens,171,,,,27,Coast Redwood,other,219,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Outstanding Example of the Species, Outstanding Size, Particularly Old, Rare or Localised, Horticultural Value",100+ years
-37.82936899,145.0230393,Ficus,F. obliqua,215,,,,25,Small-leaved Fig,other,220,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Curious Growth Form, Outstanding Size, Particularly Old, Rare or Localised, Horticultural Value",100+ years
-37.82932909,145.0228627,Araucaria,A. cunninghamii,104,,,,28,Hoop Pine,other,221,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Outstanding Size, Particularly Old, Rare or Localised, Location of Landscape Context",100+ years
-37.82966465,145.022789,Sequoiadendron,S. giganteum,230,,,,16,Giant Sequoia,other,222,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Outstanding Size, Particularly Old, Location of Landscape Context, Rare or Localised",100+ years
-37.82966465,145.022789,Podocarpus,P. elatus,85,,,,25,Illawarra Pine,other,223,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.8300312,145.0220133,Eucalyptus,E. camaldulensis,164,,,,27,River Red Gum,other,224,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Outstanding Size, Rare or Localised, Particularly Old, Location of Landscape Context",100+ years
-37.82962911,145.0225353,Eucalyptus,E. camaldulensis,68,,,,12,River Red Gum,other,225,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Particularly Old, Outstanding Size, Rare or Localised, Location of Landscape Context",100+ years
-37.82982257,145.0209725,Phoenix,P. canariensis,124,,,,24,Canary Island Date Palm,other,226,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.82972084,145.0211652,Maclura,M. pomifera,169,,,,27,Osage Orange,park,227,,Mature,,4/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old",100+ years
-37.82675616,145.0172228,Eucalyptus,E. camaldulensis,92,,,,17,River Red Gum,park,228,,Mature,,4/10/2012,,,,,"500 YARRA BOULEVARD, BURNLEY, 3121","Significant Habitat Value, Outstanding Size, Remnant, Particularly Old",100+ years
-37.82678356,145.0165921,Eucalyptus,E. cladocalyx,144,,,,22,Sugar Gum,park,229,,Mature,,4/10/2012,,,,,"500 YARRA BOULEVARD, BURNLEY, 3121","Particularly Old, Outstanding Size, Location of Landscape Context",100+ years
-37.82678356,145.0165921,Eucalyptus,E. cornuta,127,,,,18,Yate,park,230,,Mature,,4/10/2012,,,,,"500 YARRA BOULEVARD, BURNLEY, 3121","Outstanding Size, Location of Landscape Context",81-100 years
-37.82816336,145.022803,Eucalyptus,E. camaldulensis,123,,,,22,River Red Gum,street,231,,Mature,,4/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.82910828,145.0243503,Eucalyptus,E. camaldulensis,120,,,,19,River Red Gum,street,232,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old",100+ years
-37.83006634,145.0258533,Eucalyptus,E. camaldulensis,100,,,,21,River Red Gum,street,233,,Mature,,4/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old",100+ years
-37.83036901,145.0265085,Eucalyptus,E. camaldulensis,104,,,,22,River Red Gum,street,234,,Mature,,4/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old",100+ years
-37.82600298,144.9944409,Ulmus,U. minor 'Atinia',106,,,,19,English Elm,street,236,,Mature,,8/10/2012,,,,,"67 VICTORIA PARADE, COLLINGWOOD, 3066","Particularly Old, Outstanding Size, Location of Landscape Context, Environmental Value",100+ years
-37.79934086,144.9869358,Eucalyptus,E. melliodora,72,,,,23,Yellow Box,industrial,237,,Mature,,8/10/2012,,,,,"35 JOHNSTON STREET, COLLINGWOOD, 3066","Outstanding Size, Location of Landscape Context",61-80 years
-37.81938486,144.9913027,Eucalyptus,E. camaldulensis,110,,,,17,River Red Gum,park,238,,Mature,,8/10/2012,,,,,"0 LULIE STREET, ABBOTSFORD, 3067","Remnant, Particularly Old, Outstanding Size, Location of Landscape Context",100+ years
-37.81938486,144.9913027,Araucaria,A. heterophylla,60,,,,17,Norfolk Island Pine,residential,239,,Mature,,8/10/2012,,,,,"9 STRODE STREET, RICHMOND, 3121",Location of Landscape Context,61-80 years
-37.78597438,144.998202,Ulmus,U. minor 'Atinia',71,,,,11,English Elm,park,241,,Mature,,8/10/2012,,,,,"0 HEIDELBERG ROAD, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context",81-100 years
-37.79098583,144.9854569,Platanus,P. x acerifolia,48,,,,13,London Plane,street,242,,Mature,,8/10/2012,,,,,"158 QUEENS PARADE, FITZROY NORTH, 3068",Location of Landscape Context,61-80 years
-37.79098583,144.9854569,Platanus,P. x acerifolia,50,,,,14,London Plane,street,243,,Mature,,8/10/2012,,,,,"7 QUEENS PARADE, CLIFTON HILL, 3068",Location of Landscape Context,61-80 years
-37.79098583,144.9854569,Schinus,S. molle,150,,,,15,Peppercorn Tree,park,244,,Mature,,8/10/2012,,,,,"41 ALEXANDER STREET, CLIFTON HILL, 3068","Outstanding Size, Particularly Old",100+ years
-37.79436291,144.9912874,Schinus,S. molle,80,,,,9,Peppercorn Tree,street,245,,Mature,,8/10/2012,,,,,"41 ALEXANDER STREET, CLIFTON HILL, 3068",Particularly Old,100+ years
-37.79433792,144.9909876,Schinus,S. molle,130,,,,15,Peppercorn Tree,street,246,,Mature,,8/10/2012,,,,,"41 ALEXANDER STREET, CLIFTON HILL, 3068","Particularly Old, Outstanding Size",100+ years
-37.79433792,144.9909876,Ulmus,U. minor 'Atinia',82,,,,14,English Elm,street,247,,Mature,,8/10/2012,,,,,"24 ALEXANDRA PARADE, CLIFTON HILL, 3068","Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.7939161,144.9865144,Schinus,S. molle,75,,,,8,Peppercorn Tree,street,248,,Mature,,8/10/2012,,,,,"2 ALEXANDRA PARADE, CLIFTON HILL, 3068","Aesthetic Value, Particularly Old, Location of Landscape Context",100+ years
-37.79406594,144.986735,Schinus,S. molle,111,,,,12,Peppercorn Tree,street,249,,Mature,,8/10/2012,,,,,"11 ALEXANDRA PARADE, COLLINGWOOD, 3066","Particularly Old, Aesthetic Value, Outstanding Size, Location of Landscape Context",100+ years
-37.79422657,144.9879995,Ulmus,U. minor 'Atinia',92,,,,18,English Elm,street,250,,Mature,,8/10/2012,,,,,"49 ALEXANDRA PARADE, COLLINGWOOD, 3066","Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.79422657,144.9879995,Schinus,S. molle,116,,,,12,Peppercorn Tree,street,251,,Mature,,8/10/2012,,,,,"49 ALEXANDRA PARADE, COLLINGWOOD, 3066","Curious Growth Form, Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.79419267,144.9883689,Schinus,S. molle,128,,,,10,Peppercorn Tree,street,252,,Mature,,8/10/2012,,,,,"58 ALEXANDRA PARADE, CLIFTON HILL, 3068","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.8293357,145.0205658,Eucalyptus,E. camaldulensis,132,,,,17,River Red Gum,other,253,,Mature,,15/10/2012,,,,,"576 SWAN STREET, BURNLEY, 3121","Remnant, Outstanding Size, Particularly Old",100+ years
-37.83226342,145.0264251,Eucalyptus,E. camaldulensis,86,,,,17,River Red Gum,park,254,,Mature,,15/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Location of Landscape Context, Outstanding Size, Environmental Value.",100+ years
-37.83150203,145.0249747,Eucalyptus,E. camaldulensis,93,,,,18,River Red Gum,park,255,,Mature,,15/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Significant Habitat Value, Outstanding Size, Location of Landscape Context, Environmental Value.",100+ years
-37.8315059,145.0268014,Eucalyptus,E. camaldulensis,152,,,,22,River Red Gum,park,256,,Mature,,15/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Significant Habitat Value, Outstanding Example of the Species, Remnant, Outstanding Size, Particularly Old",100+ years
-37.83189881,145.026708,Eucalyptus,E. camaldulensis,109,,,,20,River Red Gum,park,257,,Mature,,15/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old",100+ years
-37.83275324,145.0261139,Eucalyptus,E. camaldulensis,100,,,,20,River Red Gum,park,258,,Mature,,15/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old",100+ years
-37.83226342,145.0264251,Eucalyptus,E. camaldulensis,98,,,,22,River Red Gum,park,259,,Mature,,15/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Significant Habitat Value, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.83347517,145.0249658,Eucalyptus,E. camaldulensis,101,,,,18,River Red Gum,park,260,,Mature,,15/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Remnant, Significant Habitat Value, Outstanding Size, Particularly Old, Location of Landscape Context",100+ years
-37.82621135,145.0152174,Eucalyptus,E. camaldulensis,148,,,,7,River Red Gum,park,261,,Mature,,15/10/2012,,,,,"0 YARRA BOULEVARD, BURNLEY, 3121","Aboriginal Culture, Historic Value",100+ years
